Company,Green Keyword frequecy,Vague Keyword Ratio,Concrete Claim Ratio,overall_sentiment_score,external_sentiment_gap,Emission Sentiment ,Energy Sentiment,Waste Sentiment,Relative Focus Score,CATEGORY
ABB India Ltd,33,0.001,0.183,0.932,0.194,-0.016,0.006,-0.005,29.11,Medium
Adani Energy Solutions Ltd,36,0.001,0.38,0.861,0.195,-0.005,0.01,-0.002,30.27,Medium
Adani Enterprises Ltd,40,0.002,0.137,0.963,0.052,0.002,0.022,-0.004,28.29,High
Adani Green Energy Ltd,36,0.002,0.213,0.728,0.458,0.004,0.018,-0.002,29.86,Low
Adani Ports and Special Economic Zone Ltd,36,0.002,0.058,0.707,0.496,-0.004,0.01,-0.009,29.2,Low
Adani Power Ltd,31,0.002,0.056,0.965,0.055,-0.003,0.007,0.002,32.96,High
Ambuja Cements Ltd,32,0.002,0.175,0.892,0.113,-0.004,0.024,-0.012,35.02,Medium
Apollo Hospitals Enterprise Ltd,13,0.002,0,0.966,0.065,-0.022,0,-0.01,79.87,Medium
Apollo Tyres ltd,21,0.009,0,0.87,0.388,-0.002,0.008,0.009,69.2,Low
Ashoka Buildcon Ltd.,14,0.007,0,0.934,0,-0.013,0.006,-0.026,42,High
Asian Paints Ltd,30,0.001,0.061,0.89,-0.147,-0.018,0.009,-0.008,30.98,Medium
Avenue Supermarts Ltd,19,0.001,0,0.875,0.102,-0.039,0.002,-0.009,34.72,High
Axis Bank Ltd,21,0.005,0.026,0.841,-0.032,0.002,0.013,0,40.07,Low
Bajaj Auto Ltd,6,0.008,0.25,0.941,0.108,0.024,0.028,0,100,Low
Bajaj Finserv Ltd,8,0.007,0,0.901,-0.009,0.015,0.01,-0.015,84.77,Medium
Bajaj Holdings & Investment Ltd,6,0.01,0,0.905,0.078,-0.088,0.006,-0.043,89.27,Low
Bajaj Housing Finance Ltd,9,0.013,0,0.881,0.154,0.04,0.018,0.009,99.83,Low
Bank of Baroda,22,0.003,0.103,0.935,-0.04,-0.006,0.007,-0.011,36.5,Medium
Bharat Electronics Ltd,28,0.007,1.095,0.927,-0.039,-0.018,0.013,-0.007,47.93,High
Bharat Petroleum Corporation Ltd,35,0.002,0.211,0.757,0.292,0.004,0.027,-0.001,34.79,High
Blue star Ltd,22,0.006,0,0.839,0.481,-0.022,0.016,-0.002,74.85,Medium
CG Power and Industrial Solutions Ltd,8,0,0,0.923,0.007,0,0.003,-0.003,38.25,Medium
Castrol india ltd,14,0.003,0.053,0.856,0.432,0,0.01,-0.026,93.6,Medium
Coal India Ltd,25,0.002,0.222,0.921,-0.093,-0.004,0.023,-0.004,45.44,High
DLF Ltd,30,0.002,0.079,0.767,0.462,0.002,0.013,-0.008,31.84,Low
Dabur,33,0.002,0.077,0.902,0.199,0.01,0.013,-0.006,32.52,Medium
Divi's Laboratories Ltd,26,0.002,0.111,0.978,0.039,0.001,0.006,-0.008,32.5,High
Dr. Reddy's Laboratories Ltd,34,0.002,0.313,0.926,0.139,-0.01,0.013,-0.004,30.74,Medium
Eicher Motors Ltd,21,0.003,0.024,0.942,0.115,-0.009,0.011,-0.005,33.68,Low
Eternal Ltd,15,0.001,0,0.969,0.061,-0.014,0.006,-0.008,45.8,Low
GAIL,17,0.003,0.077,0.89,0.265,0.001,0.018,-0.006,47.47,High
Godrej Consumer Products Ltd,30,0.001,0.087,0.976,0.048,-0.009,0.009,-0.012,30.32,Medium
Granules India Ltd.,28,0.001,0.123,0.883,0.238,-0.011,0.01,-0.013,31.8,High
